Block size, Scaling factor bitwidth, Quantisation bitwidth, Mean EVM, Compression rate
160,14,9,110.923589,1.760660
160,14,10,27.625739,1.586121
160,14,11,6.889329,1.443067
160,14,12,1.722230,1.323681
160,14,13,0.431281,1.222541
160,14,14,0.107738,1.135759
160,15,8,495.196953,1.976834
160,15,9,110.923589,1.759450
160,15,10,27.625739,1.585139
160,15,11,6.889329,1.442254
160,15,12,1.722230,1.322997
160,15,13,0.431281,1.221957
160,15,14,0.107738,1.135255
160,15,15,0.026953,1.060041
160,16,8,495.196953,1.975309
160,16,9,110.923589,1.758242
160,16,10,27.625739,1.584158
160,16,11,6.889329,1.441441
160,16,12,1.722230,1.322314
160,16,13,0.431281,1.221374
160,16,14,0.107738,1.134752
160,16,15,0.026953,1.059603
160,16,16,0.006737,0.993789
192,8,8,498.149994,1.989637
192,9,8,498.149994,1.988350
192,9,9,111.566995,1.768566
192,10,8,498.149994,1.987063
192,10,9,111.566995,1.767549
192,10,10,27.778039,1.591710
192,11,8,498.149994,1.985779
192,11,9,111.566995,1.766532
192,11,10,27.778039,1.590886
192,11,11,6.928662,1.447009
192,12,8,498.149994,1.984496
192,12,9,111.566995,1.765517
192,12,10,27.778039,1.590062
192,12,11,6.928662,1.446328
192,12,12,1.731955,1.326425
192,13,8,498.149994,1.983215
192,13,9,111.566995,1.764503
192,13,10,27.778039,1.589240
192,13,11,6.928662,1.445647
192,13,12,1.731955,1.325852
192,13,13,0.433557,1.224392
192,14,8,498.149994,1.981935
192,14,9,111.566995,1.763490
192,14,10,27.778039,1.588418
192,14,11,6.928662,1.444967
192,14,12,1.731955,1.325280
192,14,13,0.433557,1.223904
192,14,14,0.108310,1.136936
192,15,8,498.149994,1.980658
192,15,9,111.566995,1.762478
192,15,10,27.778039,1.587597
192,15,11,6.928662,1.444288
192,15,12,1.731955,1.324709
192,15,13,0.433557,1.223417
192,15,14,0.108310,1.136515
192,15,15,0.027097,1.061140
192,16,8,498.149994,1.979381
192,16,9,111.566995,1.761468
192,16,10,27.778039,1.586777
192,16,11,6.928662,1.443609
192,16,12,1.731955,1.324138
192,16,13,0.433557,1.222930
192,16,14,0.108310,1.136095
192,16,15,0.027097,1.060773
192,16,16,0.006775,0.994819
200,8,8,498.740721,1.990050
200,9,8,498.740721,1.988813
200,9,9,111.682747,1.768933
200,10,8,498.740721,1.987578
200,10,9,111.682747,1.767956
200,10,10,27.798537,1.592040
200,11,8,498.740721,1.986344
200,11,9,111.682747,1.766980
200,11,10,27.798537,1.591248
200,11,11,6.933807,1.447309
200,12,8,498.740721,1.985112
200,12,9,111.682747,1.766004
200,12,10,27.798537,1.590457
200,12,11,6.933807,1.446655
200,12,12,1.733412,1.326700
200,13,8,498.740721,1.983881
200,13,9,111.682747,1.765030
200,13,10,27.798537,1.589667
200,13,11,6.933807,1.446001
200,13,12,1.733412,1.326150
200,13,13,0.434057,1.224646
200,14,8,498.740721,1.982652
200,14,9,111.682747,1.764057
200,14,10,27.798537,1.588878
200,14,11,6.933807,1.445348
200,14,12,1.733412,1.325601
200,14,13,0.434057,1.224178
200,14,14,0.108478,1.137171
200,15,8,498.740721,1.981424
200,15,9,111.682747,1.763085
200,15,10,27.798537,1.588089
200,15,11,6.933807,1.444695
200,15,12,1.733412,1.325052
200,15,13,0.434057,1.223709
200,15,14,0.108478,1.136767
200,15,15,0.027133,1.061360
200,16,8,498.740721,1.980198
200,16,9,111.682747,1.762115
200,16,10,27.798537,1.587302
200,16,11,6.933807,1.444043
200,16,12,1.733412,1.324503
200,16,13,0.434057,1.223242
200,16,14,0.108478,1.136364
200,16,15,0.027133,1.061008
200,16,16,0.006783,0.995025
240,8,8,502.144546,1.991701
240,9,8,502.144546,1.990669
240,9,9,112.414774,1.770401
240,10,8,502.144546,1.989637
240,10,9,112.414774,1.769585
240,10,10,27.973809,1.593361
240,11,8,502.144546,1.988607
240,11,9,112.414774,1.768770
240,11,10,27.973809,1.592700
240,11,11,6.978256,1.448510
240,12,8,502.144546,1.987578
240,12,9,112.414774,1.767956
240,12,10,27.973809,1.592040
240,12,11,6.978256,1.447964
240,12,12,1.744246,1.327801
240,13,8,502.144546,1.986549
240,13,9,112.414774,1.767142
240,13,10,27.973809,1.591380
240,13,11,6.978256,1.447418
240,13,12,1.744246,1.327342
240,13,13,0.436652,1.225662
240,14,8,502.144546,1.985522
240,14,9,112.414774,1.766329
240,14,10,27.973809,1.590721
240,14,11,6.978256,1.446873
240,14,12,1.744246,1.326883
240,14,13,0.436652,1.225271
240,14,14,0.109123,1.138115
240,15,8,502.144546,1.984496
240,15,9,112.414774,1.765517
240,15,10,27.973809,1.590062
240,15,11,6.978256,1.446328
240,15,12,1.744246,1.326425
240,15,13,0.436652,1.224880
240,15,14,0.109123,1.137778
240,15,15,0.027298,1.062241
240,16,8,502.144546,1.983471
240,16,9,112.414774,1.764706
240,16,10,27.973809,1.589404
240,16,11,6.978256,1.445783
240,16,12,1.744246,1.325967
240,16,13,0.436652,1.224490
240,16,14,0.109123,1.137441
240,16,15,0.027298,1.061947
240,16,16,0.006824,0.995851
256,8,8,503.684125,1.992218
256,9,8,503.684125,1.991249
256,9,9,112.744620,1.770860
256,10,8,503.684125,1.990282
256,10,9,112.744620,1.770095
256,10,10,28.059466,1.593774
256,11,8,503.684125,1.989315
256,11,9,112.744620,1.769330
256,11,10,28.059466,1.593154
256,11,11,6.999148,1.448886
256,12,8,503.684125,1.988350
256,12,9,112.744620,1.768566
256,12,10,28.059466,1.592535
256,12,11,6.999148,1.448373
256,12,12,1.749033,1.328145
256,13,8,503.684125,1.987385
256,13,9,112.744620,1.767803
256,13,10,28.059466,1.591916
256,13,11,6.999148,1.447861
256,13,12,1.749033,1.327715
256,13,13,0.437931,1.225980
256,14,8,503.684125,1.986421
