Block size, Scaling factor bitwidth, Quantisation bitwidth, Mean EVM, Compression rate,CR/EVM
3840,13,12,"2,300234","1,332957","0,5794875652"
4800,16,12,"2,381848","1,332963","0,5596339481"
4096,13,12,"2,343263","1,332981","0,5688567609"
5120,16,12,"2,40211","1,332986","0,5549229636"
4800,15,12,"2,381848","1,332986","0,5596436045"
3840,12,12,"2,300234","1,332986","0,5795001726"
5120,15,12,"2,40211","1,333008","0,5549321222"
4096,12,12,"2,343263","1,333008","0,5688682832"
4800,14,12,"2,381848","1,333009","0,5596532608"
5120,14,12,"2,40211","1,33303","0,5549412808"
4800,13,12,"2,381848","1,333032","0,5596629172"
6144,16,12,"2,366046","1,333044","0,5634057833"
5120,13,12,"2,40211","1,333051","0,5549500231"
6400,16,12,"2,412821","1,333056","0,5524885601"
4800,12,12,"2,381848","1,333056","0,5596729934"
6144,15,12,"2,366046","1,333062","0,5634133909"
6400,15,12,"2,412821","1,333073","0,5524956058"
5120,12,12,"2,40211","1,333073","0,5549591817"
6144,14,12,"2,366046","1,33308","0,5634209986"
6400,14,12,"2,412821","1,33309","0,5525026515"
6144,13,12,"2,366046","1,333098","0,5634286062"
7680,16,12,"2,457115","1,333102","0,5425476626"
6400,13,12,"2,412821","1,333108","0,5525101116"
7680,15,12,"2,457115","1,333116","0,5425533603"
6144,12,12,"2,366046","1,333116","0,5634362138"
6400,12,12,"2,412821","1,333125","0,5525171573"
7680,14,12,"2,457115","1,333131","0,5425594651"
7680,13,12,"2,457115","1,333145","0,5425651628"
9600,16,12,"2,473687","1,333148","0,5389315625"
10240,16,12,"2,499293","1,33316","0,5334148497"
9600,15,12,"2,473687","1,33316","0,5389364135"
7680,12,12,"2,457115","1,33316","0,5425712675"
10240,15,12,"2,499293","1,333171","0,533419251"
9600,14,12,"2,473687","1,333171","0,5389408603"
10240,14,12,"2,499293","1,333181","0,5334232521"
9600,13,12,"2,473687","1,333183","0,5389457114"
12288,16,12,"2,499295","1,333189","0,5334260261"
10240,13,12,"2,499293","1,333192","0,5334276533"
12800,16,12,"2,499267","1,333194","0,5334340028"
9600,12,12,"2,473687","1,333194","0,5389501582"
12288,15,12,"2,499295","1,333198","0,5334296272"
10240,12,12,"2,499293","1,333203","0,5334320546"
12800,15,12,"2,499267","1,333203","0,5334376039"
12288,14,12,"2,499295","1,333207","0,5334332282"
12800,14,12,"2,499267","1,333212","0,533441205"
12288,13,12,"2,499295","1,333216","0,5334368292"
15360,16,12,"2,499276","1,333218","0,5334416847"
12800,13,12,"2,499267","1,33322","0,5334444059"
12288,12,12,"2,499295","1,333225","0,5334404302"
15360,15,12,"2,499276","1,333225","0,5334444855"
12800,12,12,"2,499267","1,333229","0,533448007"
15360,14,12,"2,499276","1,333232","0,5334472863"
15360,13,12,"2,499276","1,333239","0,5334500871"
19200,16,12,"2,499257","1,333241","0,5334549428"
15360,12,12,"2,499276","1,333247","0,5334532881"
20480,16,12,"2,499273","1,333247","0,5334539284"
19200,15,12,"2,499257","1,333247","0,5334573435"
20480,15,12,"2,499273","1,333252","0,533455929"
19200,14,12,"2,499257","1,333252","0,5334593441"
20480,14,12,"2,499273","1,333257","0,5334579296"
19200,13,12,"2,499257","1,333258","0,5334617448"
20480,13,12,"2,499273","1,333263","0,5334603303"
19200,12,12,"2,499257","1,333264","0,5334641455"
25600,16,12,"2,499256","1,333264","0,533464359"
20480,12,12,"2,499273","1,333268","0,5334623308"
25600,15,12,"2,499256","1,333268","0,5334659595"
25600,14,12,"2,499256","1,333273","0,5334679601"
30720,16,12,"2,49926","1,333275","0,5334679065"
25600,13,12,"2,499256","1,333277","0,5334695605"
30720,15,12,"2,49926","1,333279","0,533469507"
25600,12,12,"2,499256","1,333281","0,533471161"
30720,14,12,"2,49926","1,333283","0,5334711074"
30720,13,12,"2,49926","1,333286","0,5334723078"
38400,16,12,"2,499242","1,333287","0,5334765501"
30720,12,12,"2,49926","1,33329","0,5334739083"
38400,15,12,"2,499242","1,33329","0,5334777505"
38400,14,12,"2,499242","1,333293","0,5334789508"
38400,13,12,"2,499242","1,333296","0,5334801512"
38400,12,12,"2,499242","1,333299","0,5334813515"
51200,16,12,"2,499235","1,333299","0,5334828458"
51200,15,12,"2,499235","1,333301","0,533483646"
51200,14,12,"2,499235","1,333303","0,5334844462"
61440,16,12,"2,499223","1,333304","0,5334874079"
51200,13,12,"2,499235","1,333305","0,5334852465"
61440,15,12,"2,499223","1,333306","0,5334882081"
51200,12,12,"2,499235","1,333307","0,5334860467"
61440,14,12,"2,499223","1,333308","0,5334890084"
76800,16,12,"2,499234","1,33331","0,5334874606"
61440,13,12,"2,499223","1,33331","0,5334898086"
76800,15,12,"2,499234","1,333312","0,5334882608"
61440,12,12,"2,499223","1,333312","0,5334906089"
76800,14,12,"2,499234","1,333313","0,5334886609"
76800,13,12,"2,499234","1,333315","0,5334894612"
76800,12,12,"2,499234","1,333316","0,5334898613"
102400,16,12,"2,499229","1,333316","0,5334909286"
102400,15,12,"2,499229","1,333317","0,5334913287"
102400,14,12,"2,499229","1,333318","0,5334917288"
102400,13,12,"2,499229","1,333319","0,533492129"
102400,12,12,"2,499229","1,33332","0,5334925291"
153600,15,12,"2,499233","1,333322","0,5334924755"
153600,16,12,"2,499233","1,333322","0,5334924755"
153600,14,12,"2,499233","1,333323","0,5334928756"
153600,13,12,"2,499233","1,333324","0,5334932757"
153600,12,12,"2,499233","1,333325","0,5334936759"
307200,14,12,"2,499229","1,333328","0,5334957301"
307200,15,12,"2,499229","1,333328","0,5334957301"
307200,16,12,"2,499229","1,333328","0,5334957301"
307200,12,12,"2,499229","1,333329","0,5334961302"
307200,13,12,"2,499229","1,333329","0,5334961302"
64,16,11,"6,799205","1,422222","0,2091747491"
64,15,11,"6,799205","1,4242","0,2094656655"
64,14,11,"6,799205","1,426184","0,2097574643"
75,16,11,"6,809479","1,426873","0,2095421691"
64,13,11,"6,799205","1,428173","0,2100499985"
80,16,11,"6,811062","1,428571","0,2097427685"
75,15,11,"6,809479","1,428571","0,2097915274"
80,15,11,"6,811062","1,430168","0,20997724"
64,12,11,"6,799205","1,430168","0,2103434151"
75,14,11,"6,809479","1,430274","0,2100416199"
80,14,11,"6,811062","1,431767","0,2102120051"
75,13,11,"6,809479","1,431981","0,2102922999"
64,11,11,"6,799205","1,432168","0,2106375672"
96,16,11,"6,824787","1,432836","0,2099458928"
80,13,11,"6,811062","1,433371","0,2104475044"
100,16,11,"6,826649","1,433692","0,2100140201"
75,12,11,"6,809479","1,433692","0,2105435673"
96,15,11,"6,824787","1,434174","0,2101419429"
100,15,11,"6,826649","1,434978","0,2102023994"
80,12,11,"6,811062","1,434978","0,2106834441"
75,11,11,"6,809479","1,435407","0,2107954221"
96,14,11,"6,824787","1,435514","0,210338286"
100,14,11,"6,826649","1,436266","0,2103910718"
80,11,11,"6,811062","1,436588","0,2109198243"
96,13,11,"6,824787","1,436857","0,2105350687"
120,16,11,"6,843292","1,437126","0,2100050677"
100,13,11,"6,826649","1,437556","0,2105800371"
128,16,11,"6,853376","1,438202","0,209853071"
120,15,11,"6,843292","1,438202","0,210162302"
96,12,11,"6,824787","1,438202","0,2107321445"
100,12,11,"6,826649","1,438849","0,2107694419"
128,15,11,"6,853376","1,439213","0,2100005895"
120,14,11,"6,843292","1,43928","0,2103198285"
96,11,11,"6,824787","1,43955","0,2109296598"
100,11,11,"6,826649","1,440144","0,2109591397"
128,14,11,"6,853376","1,440225","0,2101482539"
120,13,11,"6,843292","1,44036","0,2104776473"
150,16,11,"6,873567","1,440576","0,2095820118"
